Human_Gene	Uniprot_GO_SUM
COA4	Mitochondrion
COA5	Mitochondrion
COA6	Mitochondrion
COA7	Mitochondrion
COG1	Golgi
COG3	Golgi
COG6	Golgi
COG7	Golgi
COG8	Golgi
COL11A1	ER
COL11A2	ER
COL12A1	ER
COL13A1	PM
COL14A1	ER
COL15A1	ER
COL16A1	ER
COL18A1	ER
COL19A1	ER
COL1A2	ER
COL20A1	ER
COL21A1	ER
COL22A1	ER
COL23A1	PM
COL24A1	ER
COL27A1	ER
COL28A1	ER
COL2A1	ER
COL3A1	ER
COL4A1	ER
COL4A4	ER
COL4A6	ER
COL5A1	ER
COL5A2	ER
COL5A3	ER
COL8A2	ER
COL9A1	ER
COL9A2	ER
COL9A3	ER
COLCA2	cytosol
COLGALT1	ER
COLGALT2	ER
COLQ	CS
COMMD2	cytosol
COMTD1	Mitochondrion
COPRS	Nucleus
COQ10A	Mitochondrion
COQ10B	Mitochondrion
COQ2	Mitochondrion
COQ3	Mitochondrion
COQ4	Mitochondrion
COQ5	Mitochondrion
COQ7	Mitochondrion
COQ9	Mitochondrion
CORO1B	CS
CORO2A	CS
CORO2B	CS
CORO6	CS
COX10	Mitochondrion
COX11	Mitochondrion
COX14	Mitochondrion
COX15	Mitochondrion
COX16	Mitochondrion
COX17	Mitochondrion
COX18	Mitochondrion
COX19	cytosol
COX20	Mitochondrion
COX4I1	Mitochondrion
COX4I2	Mitochondrion
COX5A	Mitochondrion
COX5B	Mitochondrion
COX6A1	Mitochondrion
COX6A2	Mitochondrion
COX6B1	Mitochondrion
COX6B2	Mitochondrion
COX6C	Mitochondrion
COX7A1	Mitochondrion
COX7A2	Mitochondrion
COX7A2L	Mitochondrion
COX7A2P2	Mitochondrion
COX7B	Mitochondrion
COX7B2	Mitochondrion
COX7C	Mitochondrion
COX8A	Mitochondrion
COX8C	Mitochondrion
CPD	PM
CPEB2	cytosol
CPED1	ER
CPM	PM
CPNE5	CS
CPOX	Mitochondrion
CPPED1	cytosol
CPSF1	Nucleus
CPSF2	Nucleus
CPSF3	Nucleus
CPSF3L	cytosol
CPSF4	Nucleus
CPSF6	Nucleus
CPSF7	Nucleus
CPT1A	Mitochondrion
CPT1B	Mitochondrion
CPT2	Mitochondrion
CR1	PM
CR2	PM
CRABP1	cytosol
CRACR2A	cytosol
CRACR2B	cytosol
CRAMP1L	Nucleus
CRB2	PM
CREB1	Nucleus
CREB5	Nucleus
CREBL2	Nucleus
CREBZF	Nucleus
CRELD2	ER
CRHR1	PM
CRHR2	PM
CRIM1	PM
CRIP1	cytosol
CRIP2	CS
CRIP3	cytosol
CRIPT	CS
CRLF3	cytosol
CRLS1	Mitochondrion
CRNN	CS
CROT	Peroxisome
CRTAC1	CS
CRTAP	ER
CRX	Nucleus
CRYL1	cytosol
CRYM	cytosol
CRYZ	cytosol
CRYZL1	cytosol
CS	Mitochondrion
CSDE1	cytosol
CSF1R	PM
CSGALNACT1	Golgi
CSGALNACT2	Golgi
CSH1	ER
CSH2	ER
CSMD2	PM
CSMD3	PM
CSNK1A1L	cytosol
CSNK1G1	cytosol
CSNK1G2	cytosol
CSNK1G3	cytosol
CSNK2A1	Nucleus
CSPG4P5	PM
CSRNP1	Nucleus
CSRNP2	Nucleus
CSRNP3	Nucleus
CSRP1	Nucleus
CSRP2	Nucleus
CSTA	cytosol
CSTF1	Nucleus
CSTF2T	Nucleus
CSTF3	Nucleus
CT83	PM
CTAG1A	cytosol
CTAG2	CS
CTAGE5	ER
CTBS	lysosome
CTDSP1	Nucleus
CTDSP2	Nucleus
CTDSPL	Nucleus
CTDSPL2	Nucleus
CTH	cytosol
CTLA4	PM
CTNNA3	CS
CTR9	Nucleus
CTSA	lysosome
CTSC	lysosome
CTSE	endosome
CTSF	lysosome
CTSH	lysosome
CTSK	lysosome
CTSL	lysosome
CTSO	lysosome
CTSS	lysosome
CTSV	lysosome
CTSZ	lysosome
CTTNBP2	CS
CTTNBP2NL	CS
CTU1	cytosol
CTU2	cytosol
CUL4A	Nucleus
CUL4B	Nucleus
CUL5	cytosol
CUL9	cytosol
CUX1	Golgi
CUX2	Nucleus
CWC15	Nucleus
CWC25	Nucleus
CX3CR1	PM
CXCL14	Golgi
CXCR1	PM
CXCR2	PM
CXCR3	PM
CXCR5	PM
CXCR6	PM
CXorf23	Mitochondrion
CXorf67	Nucleus
CXXC4	cytosol
CYB561A3	endosome
CYB5B	Mitochondrion
CYB5R1	Mitochondrion
CYB5R4	ER
CYB5RL	Nucleus
CYBA	PM
CYBB	PM
CYBRD1	PM
CYC1	Mitochondrion
CYCS	Mitochondrion
CYGB	cytosol
CYP11A1	Mitochondrion
CYP11B1	Mitochondrion
CYP11B2	Mitochondrion
CYP19A1	ER
CYP1A1	ER
CYP1A2	ER
CYP21A2	ER
CYP24A1	Mitochondrion
CYP26A1	ER
CYP26B1	ER
CYP26C1	ER
CYP27A1	Mitochondrion
CYP27B1	Mitochondrion
CYP2A13	ER
CYP2A6	ER
CYP2A7	ER
CYP2B6	ER
CYP2C18	ER
CYP2C19	ER
CYP2C8	ER
CYP2C9	ER
CYP2D6	ER
CYP2E1	ER
CYP2F1	ER
CYP2J2	ER
CYP2R1	ER
CYP2S1	ER
CYP2U1	ER
CYP39A1	ER
CYP3A4	ER
CYP3A43	ER
CYP3A5	ER
CYP3A7	ER
CYP46A1	ER
CYP4A11	ER
CYP4A22	ER
CYP4B1	ER
CYP4F11	ER
CYP4F12	ER
CYP4F2	ER
CYP4F22	ER
CYP4F3	ER
CYP4F8	ER
CYP4V2	ER
CYP4X1	ER
CYP4Z1	ER
CYP51A1	ER
CYP7A1	ER
CYP7B1	ER
CYP8B1	ER
CYSLTR1	PM
CYSLTR2	PM
CYTH4	PM
D2HGDH	Mitochondrion
DACH1	Nucleus
DACH2	Nucleus
DACT3	cytosol
DAD1	ER
DAGLA	PM
DAGLB	PM
DAO	Peroxisome
DAOA	Golgi
DAP3	Mitochondrion
DAPK1	CS
DARS	cytosol
DARS2	Mitochondrion
DAW1	CS
DBF4	Nucleus
DBF4B	Nucleus
DBNDD1	cytosol
DBNDD2	cytosol
DBP	Nucleus
DBR1	Nucleus
DBT	Mitochondrion
DBX1	Nucleus
DBX2	Nucleus
DCAF11	Nucleus
DCAF12	CS
DCAF17	Nucleus
DCAF5	Mitochondrion
DCAF6	Nucleus
DCAKD	Mitochondrion
DCBLD2	PM
DCHS1	PM
DCHS2	PM
DCK	Nucleus
DCLK2	CS
DCLRE1A	Nucleus
DCLRE1C	Nucleus
DCTD	cytosol
DCTN1	CS
DCTN6	CS
DCTPP1	cytosol
DCUN1D1	Nucleus
DCUN1D3	PM
DCUN1D4	Nucleus
DCX	CS
DDB2	Nucleus
DDHD1	cytosol
DDIT4L	cytosol
DDO	Peroxisome
DDOST	ER
DDR2	PM
DDRGK1	ER
DDT	cytosol
DDTL	cytosol
DDX11L8	Nucleus
DDX12P	Nucleus
DDX17	Nucleus
DDX18	Nucleus
DDX21	Nucleus
DDX23	Nucleus
DDX24	Nucleus
DDX27	Nucleus
DDX41	Nucleus
DDX47	Nucleus
DDX5	Nucleus
DDX50	Nucleus
DDX51	Nucleus
DDX52	Nucleus
DDX53	Nucleus
DDX54	Nucleus
DDX56	Nucleus
DDX6	CS
DDX60	cytosol
DECR1	Mitochondrion
DECR2	Peroxisome
DEDD2	Nucleus
DEFA6	Golgi
DEFB1	Golgi
DEFB103A	Golgi
DEFB4A	Golgi
DEGS2	ER
DEK	Nucleus
DENND1B	cytosol
DENND1C	cytosol
DENND2A	CS
DENND2D	cytosol
DENND4A	Nucleus
DENND4B	Golgi
DENND5A	Golgi
DENND6B	endosome
DEPDC1	Nucleus
DEPDC1B	cytosol
DEPDC7	cytosol
DEPP	CS
DERL1	ER
DERL2	ER
DERL3	ER
DES	CS
DESI2	cytosol
DET1	Nucleus
DFFA	cytosol
DFNA5	cytosol
DFNB31	CS
DGAT1	ER
DGAT2L6	ER
DGCR14	Nucleus
DGCR6	Nucleus
DGCR6L	Nucleus
DGKB	cytosol
DGUOK	Mitochondrion
DHCR7	ER
DHDDS	ER
DHFRL1	Mitochondrion
DHODH	Mitochondrion
DHPS	cytosol
DHRS3	ER
DHRS7B	ER
DHRS9	ER
DHTKD1	Mitochondrion
DHX15	Nucleus
DHX16	Nucleus
DHX29	cytosol
DHX32	Mitochondrion
DHX33	Nucleus
DHX34	Mitochondrion
DHX37	Nucleus
DHX38	Nucleus
DHX40	Nucleus
DHX57	Mitochondrion
DHX58	cytosol
DHX8	Nucleus
DICER1	cytosol
DIEXF	Nucleus
DIMT1	Nucleus
DIO1	ER
DIO2	PM
DIO3	PM
DIP2A	Nucleus
DIP2C	Nucleus
DIRAS1	PM
DIRAS2	PM
DIRAS3	PM
DIRC2	lysosome
DIS3L	cytosol
DIS3L2	CS
DISP1	PM
DISP2	PM
DIXDC1	CS
DLAT	Mitochondrion
DLD	Mitochondrion
DLEC1	cytosol
DLL4	PM
DLST	Mitochondrion
DLX1	Nucleus
DLX2	Nucleus
DLX3	Nucleus
DLX4	Nucleus
DLX5	Nucleus
DLX6	Nucleus
DMBX1	Nucleus
DMC1	Nucleus
DMGDH	Mitochondrion
DMRT1	Nucleus
DMRT2	Nucleus
DMRT3	Nucleus
DMRTA1	Nucleus
DMRTA2	Nucleus
DMRTB1	Nucleus
DMRTC1	Nucleus
DMRTC2	Nucleus
DMTF1	Nucleus
DNAAF2	CS
DNAAF3	cytosol
DNAAF5	cytosol
DNAH1	CS
DNAH10	CS
DNAH11	CS
DNAH12	CS
DNAH14	CS
DNAH17	CS
DNAH2	CS
DNAH3	CS
DNAH5	CS
DNAH6	CS
DNAH7	CS
DNAH8	CS
DNAH9	CS
DNAI1	CS
DNAI2	CS
DNAJB11	ER
DNAJB13	CS
DNAJB14	ER
DNAJB9	ER
DNAJC10	ER
DNAJC11	Mitochondrion
DNAJC13	endosome
DNAJC14	ER
DNAJC15	Mitochondrion
DNAJC19	Mitochondrion
DNAJC24	CS
DNAJC27	Nucleus
DNAJC28	Golgi
DNAJC3	ER
DNAJC30	Mitochondrion
DNAJC5B	Golgi
DNAJC6	CS
DNAL4	CS
DNALI1	cytosol
DNASE1L1	ER
DNASE1L3	Nucleus
DNASE2	lysosome
DNASE2B	lysosome
DNLZ	Mitochondrion
DNM1	CS
DNM3	CS
DNMT1	Nucleus
DNMT3B	Nucleus
DNMT3L	Nucleus
DNPEP	cytosol
DNTT	Nucleus
DNTTIP1	Nucleus
DNTTIP2	Nucleus
DOCK11	cytosol
DOCK3	cytosol
DOCK5	cytosol
DOCK7	CS
DOHH	cytosol
DOK2	cytosol
DOLK	ER
DOLPP1	ER
DONSON	Nucleus
DOPEY2	Golgi
DOT1L	Nucleus
DPAGT1	ER
DPCD	Nucleus
DPF1	cytosol
DPF3	Nucleus
DPH2	cytosol
DPH5	cytosol
DPM1	ER
DPM2	ER
DPM3	ER
DPP10	PM
DPP3	cytosol
DPP6	PM
DPP8	cytosol
DPPA2	Nucleus
DPPA4	Nucleus
DPPA5	cytosol
DPRX	Nucleus
DPY19L1	Nucleus
DPY19L2	Nucleus
DPY19L2P2	Nucleus
DPY19L3	Nucleus
DPY19L4	Nucleus
DPYD	cytosol
DPYS	cytosol
DPYSL4	cytosol
DPYSL5	cytosol
DQX1	Nucleus
DR1	Nucleus
DRAM1	lysosome
DRAP1	Nucleus
DRC1	CS
DRD2	PM
DRD4	PM
DRD5	PM
DRG1	cytosol
DRG2	cytosol
DRGX	Nucleus
DSCC1	Nucleus
DSCR3	Nucleus
DSEL	Golgi
DSG4	PM
DSN1	Nucleus
DSTN	CS
DTD2	cytosol
DTHD1	Nucleus
DTNB	cytosol
DTX3	cytosol
DTX4	cytosol
DUOX1	PM
DUOX2	PM
DUOXA2	ER
DUPD1	cytosol
DUS1L	cytosol
DUS3L	cytosol
DUS4L	cytosol
DUSP1	Nucleus
DUSP11	Nucleus
DUSP12	Nucleus
DUSP19	cytosol
DUSP2	Nucleus
DUSP3	Nucleus
DUSP4	Nucleus
DUSP5	Nucleus
DUSP6	cytosol
DUSP7	cytosol
DUSP9	cytosol
DUX1	Nucleus
DUX2	Nucleus
DUX3	Nucleus
DUX4	Nucleus
DUX4L2	Nucleus
DUX4L3	Nucleus
DUX4L4	Nucleus
DUX4L5	Nucleus
DUX4L6	Nucleus
DUX4L7	Nucleus
DUX4L9	Nucleus
DUX5	Nucleus
DUXA	Nucleus
DVL1P1	cytosol
DVL3	cytosol
DXO	Nucleus
DYNC1H1	CS
DYNC1I2	CS
DYNC1LI2	CS
DYNC2LI1	CS
DYNLL2	CS
DYNLRB1	CS
DYNLRB2	CS
DYRK1A	Nucleus
DYRK1B	Nucleus
DYRK3	Nucleus
DYTN	PM
DZIP1L	CS
DZIP3	cytosol
E2F1	Nucleus
E2F2	Nucleus
E2F3	Nucleus
E2F4	Nucleus
E2F5	Nucleus
E2F6	Nucleus
E2F7	Nucleus
E2F8	Nucleus
EAF2	Nucleus
EARS2	Mitochondrion
EBAG9	Golgi
EBF1	Nucleus
EBF2	Nucleus
EBF3	Nucleus
EBF4	Nucleus
EBNA1BP2	Nucleus
EBP	ER
EBPL	ER
ECE1	PM
ECEL1	PM
ECHDC1	cytosol
ECHDC2	Mitochondrion
ECHDC3	Mitochondrion
ECHS1	Mitochondrion
ECI1	Mitochondrion
EDA2R	PM
EDAR	PM
EDARADD	cytosol
EDC3	CS
EDEM1	ER
EDEM2	ER
EDEM3	ER
EDNRA	PM
EDNRB	PM
EDRF1	Nucleus
EED	Nucleus
EEF1A1P5	cytosol
EEF1A2	Nucleus
EEF1B2	cytosol
EEF1D	Nucleus
EEF2K	CS
EFCAB6	Nucleus
EFHC1	CS
EFHD1	Mitochondrion
EFNA2	PM
EFNA3	PM
EFNB3	PM
EFS	cytosol
EFTUD2	Nucleus
EGLN2	Nucleus
EGR1	Nucleus
EGR2	Nucleus
EGR3	Nucleus
EGR4	Nucleus
EHD1	PM
EHF	Nucleus
EHHADH	Peroxisome
EHMT1	Nucleus
EHMT2	Nucleus
EID2	Nucleus
EID2B	Nucleus
EIF1AD	Nucleus
EIF1AX	cytosol
EIF2AK1	cytosol
EIF2AK3	ER
EIF2AK4	cytosol
EIF2B2	cytosol
EIF2B3	cytosol
EIF2B4	cytosol
EIF2D	cytosol
EIF2S2	cytosol
EIF2S3	cytosol
EIF3A	cytosol
EIF3B	cytosol
EIF3C	cytosol
EIF3CL	cytosol
EIF3D	cytosol
EIF3F	cytosol
EIF3H	cytosol
EIF3I	cytosol
EIF3J	cytosol
EIF3L	cytosol
EIF3M	cytosol
EIF4B	cytosol
EIF4E	CS
EIF4E1B	cytosol
EIF4E2	cytosol
EIF4E3	cytosol
EIF4EBP2	cytosol
EIF4G3	cytosol
EIF5B	cytosol
ELF1	Nucleus
ELF2	Nucleus
ELF5	Nucleus
ELK1	Nucleus
ELK3	Nucleus
ELK4	Nucleus
ELL2	Nucleus
ELL3	Nucleus
ELMO3	cytosol
ELMOD3	CS
ELMSAN1	Nucleus
ELOF1	Nucleus
ELOVL1	ER
ELOVL2	ER
ELOVL3	ER
ELOVL4	ER
ELOVL6	ER
ELOVL7	ER
ELTD1	PM
EMC6	ER
EMC8	cytosol
EMC9	cytosol
EME1	Nucleus
EME2	Nucleus
EMG1	Nucleus
EML3	CS
EML4	CS
EML5	CS
EML6	CS
EMP1	PM
EMP3	PM
EMR1	PM
EMSY	Nucleus
EMX2	Nucleus
EN1	Nucleus
EN2	Nucleus
ENAH	CS
ENDOG	Mitochondrion
ENGASE	cytosol
ENKD1	CS
ENKUR	CS
ENO3	CS
ENOSF1	Mitochondrion
ENPP4	PM
ENPP6	PM
ENSA	cytosol
ENTPD1	PM
ENTPD3	PM
ENTPD5	ER
ENTPD8	PM
ENY2	Nucleus
EOGT	ER
EOMES	Nucleus
EP400	Nucleus
EPB41L1	CS
EPB41L4A	CS
EPB41L4B	CS
EPC1	Nucleus
EPC2	Nucleus
EPDR1	lysosome
EPG5	cytosol
EPHA1	PM
EPHA10	PM
EPHA7	PM
EPHB4	PM
EPHX1	ER
EPM2AIP1	ER
EPPK1	CS
EPRS	cytosol
EPS8L1	cytosol
EPS8L2	cytosol
EPS8L3	cytosol
EPT1	ER
ERAP1	ER
ERAP2	ER
ERAS	PM
ERCC3	Nucleus
ERCC4	Nucleus
ERCC5	Nucleus
ERCC6	Nucleus
ERCC8	Nucleus
ERF	Nucleus
ERLEC1	ER
ERLIN1	ER
ERLIN2	ER
ERMARD	ER
ERMN	CS
ERMP1	ER
ERN1	ER
ERN2	ER
ERO1L	ER
ERO1LB	ER
ERP27	ER
ERP44	ER
ERVFC1	PM
ERVFRD-1	PM
ERVK-10	PM
ERVK-18	PM
ERVK-19	PM
ERVK-21	PM
ERVK-24	PM
ERVK-25	PM
ERVK-6	PM
ERVK-7	PM
ERVK-8	PM
ERVK-9	PM
ERVK13-1	PM
ERVPABLB-1	PM
ERVS71-1	PM
ERVW-1	PM
ESCO1	Nucleus
ESCO2	Nucleus
ESF1	Nucleus
ESPN	CS
ESR2	Nucleus
ESRG	Nucleus
ESRP1	Nucleus
ESRP2	Nucleus
ESRRA	Nucleus
ESRRB	Nucleus
ESRRG	Nucleus
ETAA1	cytosol
ETF1	cytosol
ETFA	Mitochondrion
ETFB	Mitochondrion
ETFDH	Mitochondrion
ETNK1	cytosol
ETNK2	cytosol
ETNPPL	Mitochondrion
ETS2	Nucleus
ETV1	Nucleus
ETV2	Nucleus
ETV3	Nucleus
ETV3L	Nucleus
ETV4	Nucleus
ETV5	Nucleus
ETV6	Nucleus
ETV7	Nucleus
EVI2B	PM
EVL	CS
EVX1	Nucleus
EVX2	Nucleus
EXOC5	cytosol
EXOC8	CS
EXOG	Mitochondrion
EXPH5	endosome
EXTL1	ER
EXTL2	ER
EXTL3	ER
EZH1	Nucleus
EZH2	Nucleus
F2R	PM
F2RL1	PM
F2RL2	PM
F2RL3	PM
F8A1	Nucleus
FA2H	ER
FAAP100	Nucleus
FAAP20	Nucleus
FAAP24	Nucleus
FABP1	cytosol
FABP12	cytosol
FABP2	cytosol
FABP3	cytosol
FABP5	cytosol
FABP6	cytosol
FABP7	cytosol
FABP9	cytosol
FADS2	ER
FADS2P1	ER
FADS3	ER
FAF1	Nucleus
FAF2	ER
FAH	cytosol
FAIM	cytosol
FAM101A	CS
FAM101B	CS
FAM103A1	Nucleus
FAM107A	Nucleus
FAM110B	CS
FAM114A1	cytosol
FAM115A	PM
FAM115C	PM
FAM120B	Nucleus
FAM120C	Nucleus
FAM127A	PM
FAM136A	cytosol
FAM13A	cytosol
FAM13B	cytosol
FAM154A	CS
FAM156A	Nucleus
FAM161A	CS
FAM162A	Mitochondrion
FAM166A	Nucleus
FAM169A	Nucleus
FAM170A	Nucleus
FAM172A	ER
FAM175A	Nucleus
FAM185A	cytosol
FAM188A	Nucleus
FAM192A	Nucleus
FAM195B	Nucleus
FAM198B	Golgi
FAM19A1	ER
FAM19A2	cytosol
FAM205A	Nucleus
FAM208A	Nucleus
FAM209A	Nucleus
FAM209B	Nucleus
FAM20B	Golgi
FAM20C	Golgi
FAM210A	Mitochondrion
FAM213A	cytosol
FAM213B	cytosol
FAM214B	Nucleus
FAM21A	PM
FAM21B	endosome
FAM21D	endosome
FAM220A	Nucleus
FAM222B	Nucleus
FAM26D	PM
FAM26E	PM
FAM26F	PM
FAM32A	Nucleus
FAM50A	Nucleus
FAM50B	Nucleus
FAM53A	Nucleus
FAM57A	PM
FAM58A	Nucleus
FAM58BP	Nucleus
FAM60A	Nucleus
FAM63A	Nucleus
FAM63B	Nucleus
FAM65A	CS
FAM65C	cytosol
FAM69A	ER
FAM69B	ER
FAM69C	ER
FAM71A	Nucleus
FAM71B	Nucleus
FAM71C	Nucleus
FAM71E1	Nucleus
FAM71E2	Nucleus
FAM71F1	Nucleus
FAM71F2	Nucleus
FAM73A	Mitochondrion
FAM73B	Mitochondrion
FAM76A	Nucleus
FAM76B	Nucleus
FAM81B	Nucleus
FAM83A	cytosol
FAM83D	CS
FAM83H	CS
FAM86A	cytosol
FAM96A	cytosol
FAM9A	Nucleus
FAM9B	Nucleus
FAM9C	Nucleus
FANCB	Nucleus
FANCE	Nucleus
FANCF	Nucleus
FANCM	Nucleus
FAR1	Peroxisome
FARS2	Mitochondrion
FARSA	cytosol
FARSB	cytosol
FASTK	Mitochondrion
FASTKD1	Mitochondrion
FASTKD3	Mitochondrion
FAT3	PM
FAT4	PM
FATE1	ER
FBL	Nucleus
FBLIM1	CS
FBLL1	Nucleus
FBLN7	CS
FBP1	cytosol
FBXL12	cytosol
FBXL14	cytosol
FBXL15	cytosol
FBXL16	cytosol
FBXL20	cytosol
FBXL22	CS
FBXL7	CS
FBXO10	cytosol
FBXO11	Nucleus
FBXO18	Nucleus
FBXO22	CS
FBXO25	Nucleus
FBXO4	cytosol
FBXO40	cytosol
FBXO43	Nucleus
FBXO6	cytosol
FBXO9	cytosol
FBXW2	cytosol
FBXW5	cytosol
FCAMR	PM
FCER1A	PM
FCER1G	PM
FCER2	PM
FCF1	Nucleus
FCGR1A	PM
FCGR1B	PM
FCGR1C	PM
FCGR2A	PM
FCGR2B	PM
FCGR3A	PM
FCGR3B	PM
FCGRT	PM
FCHO1	PM
FCRL1	PM
FCRL2	PM
FCRL3	PM
FCRL4	PM
FCRL5	PM
FCRL6	PM
FCRLA	cytosol
FDFT1	ER
FDPS	cytosol
FDX1	Mitochondrion
FDX1L	Mitochondrion
FDXACB1	cytosol
FDXR	Mitochondrion
FECH	Mitochondrion
FEM1A	cytosol
FEM1C	cytosol
FER1L5	PM
FERD3L	Nucleus
FERMT3	CS
FEV	Nucleus
FEZF1	Nucleus
FEZF2	Nucleus
FFAR1	PM
FFAR2	PM
FFAR3	PM
FGD3	CS
FGD4	CS
FGD6	CS
FGF12	Nucleus
FGF14	Nucleus
FGF3	Golgi
FGF7	Golgi
FGFR1OP	CS
FGFR1OP2	cytosol
FGGY	cytosol
FHL5	Nucleus
FHOD1	CS
FHOD3	CS
FIGLA	Nucleus
FIGNL1	Nucleus
FILIP1	CS
FIP1L1	Nucleus
FITM1	ER
FITM2	ER
FKBP10	ER
FKBP11	ER
FKBP14	ER
FKBP1A	cytosol
FKBP2	ER
FKBP3	Nucleus
FKBP7	ER
FKBP9	ER
FKBP9P1	ER
FKBPL	ER
FKTN	Golgi
FLI1	Nucleus
FLNA	CS
FLNB	CS
FLOT2	PM
FLVCR2	PM
FLYWCH1	Nucleus
FMNL2	cytosol
FMO1	ER
FMO2	ER
FMO3	ER
FMO4	ER
FMO5	ER
FMO6P	ER
FMR1NB	Nucleus
FN3K	cytosol
FN3KRP	cytosol
FNBP4	Nucleus
FNDC3A	Golgi
FNDC8	Nucleus
FNIP1	CS
FNIP2	CS
FNTA	CS
FNTB	CS
FOLH1B	cytosol
FOLR4	PM
FOSB	Nucleus
FOSL1	Nucleus
FOSL2	Nucleus
FOXA1	Nucleus
FOXA3	Nucleus
FOXB1	Nucleus
FOXB2	Nucleus
FOXC1	Nucleus
FOXC2	Nucleus
FOXD1	Nucleus
FOXD2	Nucleus
FOXD3	Nucleus
FOXD4	Nucleus
FOXD4L1	Nucleus
FOXD4L2	Nucleus
FOXD4L3	Nucleus
FOXD4L4	Nucleus
FOXD4L5	Nucleus
FOXD4L6	Nucleus
FOXE1	Nucleus
FOXE3	Nucleus
FOXF1	Nucleus
FOXF2	Nucleus
FOXG1	Nucleus
FOXH1	Nucleus
FOXI1	Nucleus
FOXI2	Nucleus
FOXI3	Nucleus
FOXJ1	Nucleus
FOXJ2	Nucleus
FOXJ3	Nucleus
FOXK1	Nucleus
FOXK2	Nucleus
FOXL1	Nucleus
FOXL2	Nucleus
FOXM1	Nucleus
FOXN1	Nucleus
FOXN2	Nucleus
FOXN3	Nucleus
FOXN4	Nucleus
FOXP1	Nucleus
FOXP2	Nucleus
FOXP4	Nucleus
FOXQ1	Nucleus
FOXR1	Nucleus
FOXR2	Nucleus
FOXRED1	Mitochondrion
FOXRED2	ER
FOXS1	Nucleus
FPGT	cytosol
FPR1	PM
FPR2	PM
FPR3	PM
FRA10AC1	Nucleus
FRAS1	PM
FRAT1	cytosol
FRAT2	cytosol
FREM2	PM
FRG2	Nucleus
FRG2B	Nucleus
FRG2C	Nucleus
FRMD1	CS
FRMD4A	CS
FRMD4B	CS
FRMD7	CS
FRMD8	CS
FRMD8P1	CS
FRMPD3	CS
FRMPD4	CS
FRS3	PM
FRYL	CS
FSBP	Nucleus
FSCN1	CS
FSCN2	CS
FSCN3	CS
FSHR	PM
FSIP2	Mitochondrion
FTMT	Mitochondrion
FTO	Nucleus
FTSJ1	cytosol
FTSJ2	Mitochondrion
FTSJ3	Nucleus
FUBP1	Nucleus
FUBP3	Nucleus
FUCA1	lysosome
FUK	cytosol
FUNDC1	Mitochondrion
FUOM	cytosol
FUS	Nucleus
FUT1	Golgi
FUT10	Golgi
FUT11	Golgi
FUT2	Golgi
FUT3	Golgi
FUT4	Golgi
FUT5	Golgi
FUT6	Golgi
FUT7	Golgi
FUT8	Golgi
FUT9	Golgi
FUZ	CS
FXR1	cytosol
FXR2	cytosol
FXYD4	PM
FXYD5	PM
FXYD6	PM
FXYD7	PM
FYTTD1	Nucleus
FZD1	PM
FZD10	PM
FZD2	PM
FZD4	PM
FZD7	PM
FZD8	Golgi
FZD9	PM
G0S2	Mitochondrion
G3BP2	cytosol
G6PC	ER
G6PC2	ER
G6PC3	ER
GAA	lysosome
GAB1	cytosol
GABPA	Nucleus
GABPB1	Nucleus
GABPB2	Nucleus
GADD45A	Nucleus
GADL1	cytosol
GAL3ST1	Golgi
GAL3ST2	Golgi
GAL3ST3	Golgi
GAL3ST4	Golgi
GALC	lysosome
GALE	cytosol
GALK2	cytosol
GALM	cytosol
GALNS	lysosome
GALNT10	Golgi
GALNT11	Golgi
GALNT12	Golgi
GALNT13	Golgi
GALNT14	Golgi
GALNT15	Golgi
GALNT16	Golgi
GALNT18	Golgi
GALNT3	Golgi
GALNT4	Golgi
GALNT5	Golgi
GALNT6	Golgi
GALNT7	Golgi
GALNT8	Golgi
GALNT9	Golgi
GALNTL5	endosome
GALNTL6	Golgi
GALR1	PM
GALR2	PM
GALR3	PM
GAN	CS
GAPDHS	cytosol
GAPT	PM
GAPVD1	endosome
GAREM	PM
GART	cytosol
GAS1	PM
GAS2L1	CS
GAS2L2	CS
GAS2L3	CS
GAS7	cytosol
GATA1	Nucleus
GATA2	Nucleus
GATA3	Nucleus
GATA4	Nucleus
GATA5	Nucleus
GATA6	Nucleus
GATAD1	Nucleus
GATAD2A	Nucleus
GATAD2B	Nucleus
GATB	Mitochondrion
GATC	Mitochondrion
GATM	Mitochondrion
GBA3	cytosol
GBE1	cytosol
GBGT1	Golgi
GBX1	Nucleus
GBX2	Nucleus
GCC2	Golgi
GCDH	Mitochondrion
GCFC2	Nucleus
GCGR	PM
GCLC	cytosol
GCLM	cytosol
GCM1	Nucleus
GCM2	Nucleus
GCNT1	Golgi
GCNT2	Golgi
GCNT3	Golgi
GCNT4	Golgi
GCNT6	Golgi
GCNT7	Golgi
GCSH	Mitochondrion
GDA	cytosol
GDAP1L1	cytosol
GDAP2	lysosome
GDF5OS	Mitochondrion
GDPGP1	cytosol
GEN1	Nucleus
GET4	cytosol
GFAP	CS
GFI1B	Nucleus
GFM1	Mitochondrion
GFM2	Mitochondrion
GFPT1	cytosol
GFPT2	cytosol
GFRA1	PM
GFRA2	PM
GFRA3	PM
GFRAL	PM
GFY	Golgi
GGA1	Golgi
GGA2	Golgi
GGA3	Golgi
GGCT	cytosol
GGCX	ER
GGPS1	cytosol
GGT1	PM
GGT3P	PM
GGT5	PM
GGT6	PM
GGT7	PM
